CustomerID,R,F,M,crisp_mu_(universal root),crisp_mu_F1,crisp_mu_R5,crisp_mu_R5 & F1,crisp_mu_F1 & M1,fuzzy_mu_F1@0.3,fuzzy_mu_F1@0.3 & F1@0.5,fuzzy_mu_F1@0.3 & F1@0.5 & F1@0.7,fuzzy_mu_R5@0.3,fuzzy_mu_R5@0.3 & R5@0.5
12346,325,12,77556.46,1.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0
12347,1,8,5633.32,1.0,1.0,1.0,1.0,0.0,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.0,1.0
12348,74,5,2019.4,1.0,1.0,1.0,1.0,0.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.7383720930232558,0.7383720930232558
12349,18,4,4428.69,1.0,1.0,1.0,1.0,0.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0
12350,309,1,334.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12351,374,1,300.93,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12352,35,10,2849.84,1.0,1.0,1.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.9651162790697675,0.9651162790697675
12353,203,2,406.76,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12354,231,1,1079.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12355,213,2,947.61,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12356,22,6,6373.68,1.0,1.0,1.0,1.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1.0,1.0
12357,32,3,18287.66,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9825581395348837,0.9825581395348837
12358,1,5,3887.07,1.0,1.0,1.0,1.0,0.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,1.0
12359,57,10,8935.94,1.0,1.0,1.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8372093023255813,0.8372093023255813
12360,51,8,4252.89,1.0,1.0,1.0,1.0,0.0,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.872093023255814,0.872093023255814
12361,286,4,511.25,1.0,1.0,0.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.0,0.0
12362,2,11,5356.23,1.0,1.0,1.0,1.0,0.0,0.6190476190476191,0.6190476190476191,0.6190476190476191,1.0,1.0
12363,109,2,552.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5348837209302326,0.5348837209302326
12364,7,4,1313.1,1.0,1.0,1.0,1.0,0.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0
12365,290,2,641.38,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
